block,count
[16*]c1ccccc1,15
[16*]c1cc([16*])cc([16*])c1,5
[16*]c1ccc(N)cc1,77
[8*]C([8*])([8*])[8*],2
[16*]c1ccc([16*])cc1,49
[6*]C([6*])=O,3
[3*]O[3*],102
[16*]c1cc(C)c(N)c(C)c1,12
[8*]C([8*])[8*],15
[16*]c1ccncc1,1
[16*]c1ccc2oc3ccc([16*])cc3c(=O)c2c1,2
[1*]C([6*])=O,25
[5*]N[5*],20
[16*]c1c(F)c(F)c([16*])c(F)c1F,2
[16*]c1ccc(S(=O)(=O)c2ccc([16*])cc2)cc1,4
[16*]c1cc([16*])cc(N)c1,1
[8*]C(F)(F)F,69
Nc1ccc(C2(c3ccc(N)c(F)c3)c3ccccc3-c3ccccc32)cc1F,1
[16*]c1cccc([16*])c1,7
[15*]C1([15*])C(=O)OC(C)(C)OC1=O,1
[8*]C[8*],6
[8*]C([8*])([8*])C(F)(F)F,3
[16*]c1ccc(N)cc1[16*],46
[8*]C([8*])([8*])C,2
Nc1cccc(S(=O)(=O)c2cccc(N)c2)c1,1
[16*]c1ccc(N)c(C)c1C,2
[8*]C([8*])(C(F)(F)F)C(F)(F)F,6
[16*]c1ccc(N)nc1,1
[14*]c1ccc(N)cn1,3
[15*]C12CC3CC(C1)CC([15*])(C3)C2,3
[16*]c1cc(N)cc(F)c1,1
[14*]c1nc2cc(N)ccc2n1C,4
[16*]c1ccc(N)cc1C,9
[16*]c1cc([16*])cc(Cl)c1,1
[16*]c1ccc([16*])c([16*])c1,19
[5*]N([5*])[5*],3
[16*]c1cc(N)cc(N)c1,5
[16*]c1c(F)cc(N)cc1F,1
Nc1ccc(F)c(N)c1,1
Nc1ccc(S(=O)c2ccc(N)cc2)cc1,1
[15*][C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2[15*],3
[14*]c1nc2ccc(N)cc2o1,1
[16*]c1cccc(N)c1,14
[11*]S[11*],4
[16*]c1ccc(C2(c3ccc([16*])cc3)c3ccccc3-c3ccccc32)cc1,3
[16*]c1cc(F)c(N)c(F)c1,1
[14*]c1nc2ccc(N)cc2n1C,1
[16*]c1ccc(N)cc1F,1
[16*]c1cc([16*])c2ccccc2c1,2
Cc1cc(C2(c3cc(C)c(N)c(C)c3)c3ccccc3-c3ccccc32)cc(C)c1N,1
[16*]c1cccc2ccccc12,3
[16*]c1cc([16*])c(N)c([16*])c1,1
[8*]C(C)C,2
[16*]c1ccc(C2(c3ccc([16*])cc3)c3ccccc3C(=O)c3ccccc32)cc1,2
[16*]c1cc(C)c([16*])cc1C,2
[16*]c1cc(C)c(N)cc1C,3
[8*]CN,2
[16*]c1ccc(N)c(C)c1,5
[15*]C1CCCCC1,2
[15*]C1(F)C([15*])(F)C(F)(F)C1(F)F,1
[14*]c1nc2cc(N)ccc2o1,5
[14*]c1ccc(N)c(C)n1,2
[16*]c1cc(Cl)c(N)cc1Cl,1
[16*]c1cc2ccccc2cc1[16*],2
[16*]c1ccc(C2(c3ccc([16*])c([16*])c3)c3ccccc3-c3ccccc32)cc1[16*],1
[14*]c1nc2cc(N)ccc2[nH]1,4
[4*]CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2
Nc1ccc(N)cc1,1
[16*]c1ccc2c(c1)Oc1cc([16*])ccc1C21c2ccccc2-c2ccccc21,2
[15*]C1CC2CC1CC2[15*],1
[16*]c1ccc(N)cc1N,1
[14*]c1nc2cc3c(cc2o1)C1(CC3(C)C)CC(C)(C)c2ccc3oc([14*])nc3c21,2
[14*]c1ccc([14*])s1,1
[16*]c1ccc([16*])c(C)c1,2
[16*]c1cc(N)cc2c1C1C3CC(C21)C1c2cc(N)cc([16*])c2C31,1
Cc1c(C)c(N)c(C)c(C)c1N,1
[9*]n1c([14*])nc2cc(N)ccc21,3
[14*]c1cc(C)c(N)cn1,2
Nc1ccc2oc3ccc(N)cc3c(=O)c2c1,1
[16*]c1ccc(C2(c3ccc([16*])cc3)c3ccccc3Oc3ccccc32)cc1,1
[14*]c1nc2cc3c(cc2o1)C1(CC3(C)C)CC(C)(C)c2cc3nc([14*])oc3cc21,2
[16*]c1c(F)c(F)c(C=C)c(F)c1F,1
[3*]OC,1
Nc1ccc(C2(c3ccc(N)cc3)c3ccccc3-c3ccccc32)cc1,1
[8*]C([8*])(C)C,3
Nc1cc(F)c2c(c1F)C1C3CC(C21)C1c2c(F)c(N)cc(F)c2C31,1
[16*]c1ccc(Cl)c([16*])c1,1
[16*]c1ccccc1[16*],3
[16*]c1cccc2c([16*])cccc12,2
[16*]c1cc(N)c(F)c2c1C1C3CC(C21)C1c2c(F)c(N)cc([16*])c2C31,1
[4*]C([8*])C([4*])[8*],1
Cc1cc2c(c(C)c1N)C1C3CC(C21)C1c2c(cc(C)c(N)c2C)C31,1
[14*]c1cc([16*])cc([14*])n1,1
Cc1cc(C)c(N)c(C)c1N,1
[8*]C(C)(C)C,9
[15*]C1CCC([15*])CC1,1
[16*]c1cc(C)c([16*])c(C)c1,2
[16*]c1cc(N)ccc1S(=O)c1ccc(N)cc1[16*],1
[14*]c1ncc([16*])cn1,1
N[C@H]1CC[C@@H](N)CC1,1
Cc1cc2c(c(C)c1N)C1C3CC(C21)C1c2cc(C)c(N)c(C)c2C31,1
[14*]c1ccc([16*])cn1,2
[16*]c1cc(N)c(F)c2c1C1C3CC(C4c5c([16*])c(N)cc(F)c5C34)C21,1
[16*]c1cc([16*])c([16*])cc1[16*],3
N[C@H]1CC[C@H](N)CC1,1
Nc1cc(F)c2c(c1F)C1C3CC(C21)C1c2c(F)cc(N)c(F)c2C31,1
