block,count
Nc1ccc2c(c1)-c1cc(N)ccc1C21c2ccccc2Oc2ccccc21,1
Nc1cccc(F)c1N,1
Nc1cc(F)c(F)c(F)c1N,1
Nc1cc(F)c(F)cc1N,1
Nc1cc(F)cc(F)c1N,1
Nc1ccc(F)c(F)c1N,1
Nc1ccccc1N=Nc1ccccc1N,1
Nc1ccc(F)cc1N,1
[16*]c1cccc([16*])c1,100
[8*]C(N)CF,1
[8*]CN,65
[8*]C(F)(F)F,122
[8*]C(N)N,21
[16*]c1cc([16*])cc(C)c1,7
[8*]C(N)CCC,2
[8*]C(N)C(C)C,2
[8*]C(N)(CCC)CCC,1
[8*]C(N)(CC)CC,1
[16*]c1c(F)cc(F)c([16*])c1F,1
[8*]C[8*],144
[16*]c1cccc(C=C)c1[16*],1
[16*]c1ccccc1,88
[7*]CC([8*])N,1
[7*]CCN,1
[15*]C1(C)CC=CC=C1c1cccc([16*])c1,1
[16*]c1ccc(C=C)cc1[16*],1
[16*]c1cc(C)cc(C)c1,2
[16*]c1ccc(F)c([16*])c1,5
[8*]C(F)F,5
[8*]C(C)CN,1
[8*]C(C)CC,2
[16*]c1cc([16*])cc([16*])c1,16
[8*]C(N)CC,2
[8*]CCN,18
[16*]c1cc([16*])cc(C#N)c1,1
[8*]CCCCN,3
[16*]c1ccc(F)c(C)c1,1
[8*]C([8*])N,3
[8*]C(N)CCN,1
[16*]c1cccc(C)c1,6
[8*]CCCN,8
[8*]CC=C,7
[16*]c1ccc([16*])cc1,70
[8*]CC,60
[8*]C(N)C(C)N,1
[16*]c1cc([16*])cc(F)c1,3
[16*]c1cccc([16*])c1[16*],6
[8*]C(C)(C)CC,1
[8*]CC(N)N,1
[8*]C(C)(C)N,3
[16*]c1cccc(C)c1F,1
[16*]c1cccc(C)c1[16*],1
[16*]c1cccc(C#N)c1,1
[8*]C(C)C,29
[8*]C(C)N,4
[8*]C(N)C=C,1
[8*]C(N)CCCCCN,1
[16*]c1cccc(C)c1C,1
[8*]C(N)CN,4
[16*]c1cccc(C=C)c1,1
[16*]c1ccc(C)cc1[16*],1
[16*]c1cccc([16*])c1C,3
[16*]c1ccc([16*])c(C)c1,3
[16*]c1c(C)cccc1C,2
[16*]c1ccc(C)c([16*])c1,2
[8*]CCCCCC,18
[8*]C(C)(C)C,6
[8*]C(N)CCCCN,1
[16*]c1cccc([16*])c1F,2
[16*]c1ccccc1[16*],15
[16*]c1ccc(C)cc1,6
Nc1cc(N)c2c(F)cccc2c1,1
[16*]c1c([16*])c(N)c2c(N)ccc([16*])c2c1[16*],1
[16*]c1cc(N)c2c(N)cc([16*])cc2c1,1
[16*]c1c(N)cc2ccccc2c1N,3
[16*]c1ccc2c(N)cc(N)cc2c1,1
[16*]c1cc(N)c2c(N)cccc2c1,9
[16*]c1ccc2cc(N)cc(N)c2c1,1
[15*]C1CCC1,2
[16*]c1ccc2cccc(N)c2c1N,9
[16*]c1ccc(N)c2c(N)cccc12,5
N#Cc1ccc2cccc(N)c2c1N,1
Cc1ccc2c(N)cc(N)c(C)c2c1,1
[16*]c1cc(N)c2ccccc2c1,3
[16*]c1ccc2cccc(N)c2c1,1
Cc1ccc2cc(N)cc(N)c2c1,1
Cc1ccc2c(N)cc(N)cc2c1,1
Nc1cc(N)cc(N=Nc2cccc3ccccc23)c1,1
Nc1cccc2c1c(N)cc1ccccc12,1
Nc1cccc2cccc(N=Nc3cccc4cccc(N)c34)c12,1
[16*]c1cccc2cccc(N)c12,1
Cc1cc2ccc(N)cc2c(C)c1N,1
[16*]c1cccc(N)c1[16*],22
[16*]c1ccccc1N,77
[16*]c1c(C)cccc1N,8
[16*]c1cccc(N)c1,160
[16*]c1cccc(N)c1C,10
[16*]c1ccc2c(N)cccc2c1N,9
[16*]c1cccc2c(N)cccc12,4
Cc1cc(N)cc2cccc(N)c12,1
[16*]c1c(N)ccc2ccccc12,6
[15*]C1(N)CC1,1
[16*]c1ccc(N)c2ccccc12,8
[16*]c1ccc2cc(C)cc(N)c2c1N,1
[16*]c1cc(N)c2cccc(N)c2c1,8
Cc1ccc(N)c2c(C)ccc(N)c12,1
[8*]CCCC,18
Cc1ccc(N)c2cccc(N)c12,1
[16*]c1ccc(N)c2cccc(N)c12,1
[8*]CCC,23
Cc1cc(N)c2cccc(N)c2c1,1
NC1=Cc2cccc3ccc(N)c1c23,1
Cc1c(C)c(N)c2c(N)ccc(C)c2c1C,1
Cc1c(C)c(N)c2c(N)cccc2c1F,1
[16*]c1c([16*])c(N)c2c(N)cccc2c1F,1
Cc1ccc(N)c2c(N)ccc(C)c12,1
Nc1cc(N)c2c(c1)CCCC2,1
NC1=CCCc2c(N)cccc21,1
Nc1cccc2c1Cc1cccc(N)c1C2,1
[16*]c1cc(N)c2ccccc2c1N,7
N#Cc1ccc(N)c2c(N)cccc12,1
Cc1cc2c(N)cccc2c(N)c1C,1
N#Cc1cc(N)c2c(N)cccc2c1,1
Cc1ccc2ccc(C)c(N)c2c1N,1
Cc1ccc(N)c2c(N)cccc12,1
Cc1cc(N)c2c(N)c(C)ccc2c1,1
C=Cc1cc(N)cc2c(C=C)cc(N)cc12,1
[16*]c1ccc(N)c2c(N)ccc([16*])c12,2
[8*]CCCCCCCC,16
[16*]c1cc2c(N)cccc2c(N)c1[16*],4
N#Cc1ccc2c(N)cccc2c1N,1
[16*]c1c(N)ccc2cccc(N)c12,1
N#Cc1ccc(N)c2cccc(N)c12,1
Nc1ccc(N)c2c1CC=CC2,1
