block,count
O=C1OC(=O)c2cc3c(cc21)-c1cc2c(cc1C31c3cc(F)ccc3-c3ccc(F)cc31)C(=O)OC2=O,1
[16*]c1ccc2c(c1)C(=O)OC2=O,436
[3*]OC1=CC=C2C(=O)OC(=O)C2C1C,1
[16*]c1cc2c(c(C)c1C)C(=O)OC2=O,3
[3*]O[3*],302
[3*]OC1=CCC2(C)C(=O)OC(=O)C2=C1,1
[16*]c1cccc2c1C(=O)OC2=O,61
[3*]OC1=CC=CC2C(=O)OC(=O)C12,3
[3*]OC1=CC2C(=O)OC(=O)C2C=C1,4
[3*]OC1=CC=C2C(=O)OC(=O)C2(C)C1,1
[3*]OC1=CC2=C(CC1C)C(=O)OC2=O,2
[8*]C(C)(C)C,20
[16*]c1cc([16*])c([16*])cc1[16*],9
[16*]c1cc(C)c([16*])c(C)c1,8
[8*]C[8*],23
[4*]CC[4*],10
[16*]c1ccc([16*])cc1,169
[1*]C([6*])=O,92
[16*]c1ccc([16*])c(C)c1,6
[6*]C([6*])=O,30
[16*]c1ccccc1[16*],13
[16*]c1cccc([16*])c1,36
[3*]OC1=CCC2C(=O)OC(=O)C2=C1,2
[15*]C1C=C2C(=O)OC(=O)C2=CC1,7
[15*]C1CCC2C(=O)OC(=O)C2C1,12
[1*]C(=O)CCCCC([1*])=O,1
[1*]C(=O)CCCCCCCCC([1*])=O,1
[16*]c1c(F)ccc2c1C(=O)OC2=O,1
[1*]C(=O)CC(=C)C([1*])=O,1
[4*]CCCC[4*],2
[16*]c1ccc(C#Cc2ccc([16*])cc2)cc1,1
[4*]CCC[4*],2
[15*]C1CCC2C3CCC4CC([15*])([15*])CCC4(C)C3CCC12C,6
[8*]CC,13
[4*]CCCCCCCCCCCC[4*],2
[8*]C([8*])(C)C,37
[4*]CC#CC#CC#CC[4*],1
O=c1oc(=O)c2c1c1oc3ccccc3c(=O)c1c1c(=O)oc(=O)c21,1
[8*]C([8*])(CF)CF,3
[8*]C(C)CCCC(C)C,8
[15*]C1CCC2(C)C(CCC3C4CCC([15*])C4(C)CCC32)C1[15*],2
[15*]C1([15*])C=CCC2=C1c1ccccc12,1
[16*]c1ccccc1,42
[16*]c1cc2c(=O)oc(=O)c2c2c(=O)oc(=O)c12,7
[3*]OC1=CCC(C2(c3ccc([16*])cc3)c3ccccc3-c3ccccc32)C=C1,1
[1*]C(=O)C([1*])=O,1
C=CC1=C(C=C)C2(c3ccccc31)c1cc3c(cc1-c1cc4c(cc12)C(=O)OC4=O)C(=O)OC3=O,1
O=C1OC(=O)c2cc(C3(C4=CC5C(=O)OC(=O)C5C=C4)c4ccccc4-c4ccccc43)ccc21,1
CC1CC(c2ccc3c(c2)C(=O)OC3=O)c2cc3c(cc21)C(=O)OC3=O,1
[4*]CCCCCC[4*],2
CC1CC(c2ccc3c(c2)C(=O)OC3=O)c2c1ccc1c2C(=O)OC1=O,1
[16*]c1cccc(C2(c3cccc([16*])c3)c3ccccc3-c3ccccc32)c1,2
[16*]c1ccc2cc(C3(c4ccc5cc([16*])ccc5c4)c4ccccc4-c4ccccc43)ccc2c1,3
C=Cc1ccc2c(c1)C1(c3cc4c(cc3Oc3cc5c(cc31)C(=O)OC5=O)C(=O)OC4=O)c1cc(C=C)ccc1-2,1
[1*]C(=O)C[8*],1
[16*]c1ccc(C2(c3ccc([16*])cc3)c3ccccc3-c3ccccc32)cc1,9
O=C1OC(=O)c2cc3c(cc21)Oc1cc2c(cc1C31c3ccccc3-c3ccccc31)C(=O)OC2=O,1
[8*]C([8*])([8*])[8*],2
[16*]c1c([16*])c([16*])c2c(c1[16*])C(=O)OC2=O,1
O=c1oc(=O)c2c1ccc1ccc3ccc4c5c(=O)oc(=O)c5c5ccccc5c4c3c12,1
[16*]c1cc2c(cc1[16*])C(=O)OC2=O,18
[16*]c1ccc([Si](C)(C)C)cc1,2
[8*]C([8*])C,5
[8*]C(C)(C)CCCCCCCCC([8*])(C)C,2
[15*]C1CC2CC1C1C(=O)OC(=O)C21,1
O=C1OC(=O)c2cc3c(cc21)C(F)(C(F)(F)F)c1cc2c(cc1C3(F)C(F)(F)F)C(=O)OC2=O,1
O=C1OC(=O)c2cc3c(cc21)C(C(F)(F)F)c1cc2c(cc1C3(F)C(F)(F)F)C(=O)OC2=O,1
O=c1oc(=O)c2c1ccc1c3ccccc3c3c(=O)oc(=O)c3c12,1
[6*]C(=O)C[8*],6
[15*]C1CC(=O)OC1=O,21
[16*]c1c(C)c2c(c3cccc(C)c13)C(=O)OC2=O,1
[4*]C[8*],7
[15*]C1CCC([15*])CC1,7
[16*]c1cc2c(c3ccccc13)C(=O)OC2=O,4
[16*]c1c2ccccc2cc2cc3c(cc12)C(=O)OC3=O,2
[15*]C1([15*])CCCCCCCC1,1
O=C1OC(=O)c2c3c1ccc1c4cccc5cccc(c54)c(c4c(=O)oc(=O)c24)c31,1
O=C1OC(=O)c2cc3c(cc21)-c1cc2c(cc1C31c3ccccc3-c3ccc(F)cc31)C(=O)OC2=O,1
[8*]C(F)(F)F,47
[4*]C([8*])(F)F,4
[16*]c1ccc2ccc([16*])cc2c1,3
[16*]c1cccc(F)c1[16*],1
[16*]c1cc(C)c([16*])c(C)c1C,4
[15*]C1([15*])C2CC3CC(C2)CC1C3,1
[15*]C1C=CCCC1[15*],1
[16*]c1cc([16*])c([16*])c(C)c1,1
O=C1OC(=O)C2CC3C(CCC4C(=O)OC(=O)C43)CC12,1
[16*]c1ccc([16*])c([16*])c1,18
[8*]C([8*])(C(F)(F)F)C(F)(F)F,24
O=C1OC(=O)c2cc3c(cc21)Cc1cc2c(cc1C3(c1ccccc1)C(F)(F)F)C(=O)OC2=O,1
O=C1OC(=O)c2cc3c(cc21)-c1cc2c(cc1C31c3ccccc3-c3ccccc31)C(=O)OC2=O,1
[8*]C([8*])(C)CC,2
[16*]c1cc([16*])c([16*])c([16*])c1,1
[3*]OC1=CC2=C(CC1)C(=O)OC2=O,1
[16*]c1cc([16*])cc([16*])c1,15
[6*]C(C)=O,1
[3*]OC1=CC=C2C(=O)OC(=O)C2C1,3
[8*]C([8*])(C)F,1
[8*]C([8*])(CC)C(F)(F)F,1
[8*]C([8*])(F)C(F)(F)F,2
[16*]c1c(F)c(F)c2c(c1F)C(=O)OC2=O,5
[16*]c1ccc(C(=C(Cl)Cl)c2ccc([16*])cc2)cc1,1
[15*]C1CCC([15*])([15*])CC1,2
[8*]C([8*])CC,3
[16*]c1cccc(C)c1,2
[8*]C(C)(C)C1=CCC([15*])C=C1,1
[4*]CCCCCCCC[4*],2
[8*]C([8*])F,1
[16*]c1cc(C#Cc2ccccc2)c2c(c1)C(=O)OC2=O,1
[15*]C1C(C2(C)CCC([15*])([15*])CC2C)CCC2(C)C1CCC2C1(C)CC1,1
[16*]c1ccc2c(c1)C1(c3ccccc3-2)c2ccccc2-c2ccc([16*])cc21,1
[16*]c1cccc([16*])c1[16*],1
[15*]C1([15*])CCCCC1,4
[15*]C1CC2CCC3C4CCC([15*])C4(C)CCC3C2(C)CC1[15*],1
