smile,value_min,value_max,value_mean
Cc1ccc(-c2ccc(N3C(=O)c4ccc(NC(=O)c5ccc(C(=O)Nc6ccc7c(c6)C(=O)N(C)C7=O)cc5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,8.7,8.7,8.7
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)c(C(F)(F)F)c2)cc1,34.1,34.1,34.1
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc2C(F)(F)F)cc1,34.1,34.1,34.1
Cc1ccc(-c2cc(C(F)(F)F)c(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc2C(F)(F)F)cc1,36.5,36.5,36.5
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,47.6,47.6,47.6
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3)cc2C(F)(F)F)cc1,39.8,39.8,39.8
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3)c(C(F)(F)F)c2)cc1,39.8,39.8,39.8
Cc1ccc(-c2cc(C(F)(F)F)c(-c3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3)cc2C(F)(F)F)cc1,42.1,42.1,42.1
Cc1ccc(-c2ccc(N3C(=O)c4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc7c(c5)C(=O)N(C)C7=O)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,10.3,10.3,10.3
Cc1ccc(-c2ccc(N3C(=O)c4ccc(N5C(=O)c6ccc(C(=O)Nc7ccc8c(c7)C(=O)N(C)C8=O)cc6C5=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,10.3,10.3,10.3
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,52.1,52.1,52.1
Cc1cccc(S(=O)(=O)c2cccc(N3C(=O)c4ccc(Oc5ccc(C(C)(C)c6ccc(Oc7ccc8c(c7)C(=O)N(C)C8=O)cc6)cc5)cc4C3=O)c2)c1,43.94,43.94,43.94
CCc1ccc(CN2C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc7c(c6)C(=O)N(C)C7=O)cc5)cc4)cc3C2=O)cc1,58.02,58.02,58.02
Cc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N5C(=O)c6ccc(Oc7ccc(C(C)(C)c8ccc(Oc9ccc%10c(c9)C(=O)N(C)C%10=O)cc8)cc7)cc6C5=O)c4)cc3)cc2)c1,52.43,52.43,52.43
CN1C(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc5c(c3)C(=O)N([C@H]3CC[C@H](C)CC3)C5=O)C4=O)cc2C1=O,11.9,11.9,11.9
CN1C(=O)c2ccc(N3C(=O)c4ccc(C(=O)Nc5ccc6c(c5)C(=O)N([C@H]5CC[C@H](C)CC5)C6=O)cc4C3=O)cc2C1=O,11.9,11.9,11.9
Cc1ccc(Oc2ccc(N3C(=O)C4CCC5C(=O)N(C)C(=O)C6CCC(C3=O)C4C56)cc2)cc1,41.1,41.1,41.1
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC6C(=O)N(C)C(=O)C7CCC(C4=O)C5C67)cc3)cc2)cc1,50.6,50.6,50.6
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCC7C(=O)N(C)C(=O)C8CCC(C5=O)C6C78)cc4)cc3)cc2)cc1,46.5,46.5,46.5
CC1CCC(CC2CCC(N3C(=O)C4CCC5C(=O)N(C)C(=O)C6CCC(C3=O)C4C56)CC2)CC1,53.2,53.2,53.2
Cc1ccc(Oc2ccc(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)cc2)cc1,52.3,61.2,56.5
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3)cc2)cc1,58.0,58.0,58.0
CC1CCC(CC2CCC(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)CC2)CC1,60.0,62.4,61.2
Cc1ccc(Oc2ccc(N3C(=O)C4CCC(C5CCC6C(=O)N(C)C(=O)C6C5)CC4C3=O)cc2)cc1,58.2,68.5,63.35
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC(C6CCC7C(=O)N(C)C(=O)C7C6)CC5C4=O)cc3)cc2)cc1,60.3,60.3,60.3
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCC(C7CCC8C(=O)N(C)C(=O)C8C7)CC6C5=O)cc4)cc3)cc2)cc1,59.4,59.4,59.4
Cc1ccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5ccc(-n6c(=O)c7cc8c(=O)n(C)c(=O)c8cc7c6=O)cc5)cc4c(=O)c3c2)cc1,2.3,2.3,2.3
CC1CCC(N2C(=O)C3CCC(C4CCC5C(=O)N(C)C(=O)C5C4)CC3C2=O)CC1,61.2,61.2,61.2
CC1CCC(CC2CCC(N3C(=O)C4CCC(C5CCC6C(=O)N(C)C(=O)C6C5)CC4C3=O)CC2)CC1,68.5,68.5,68.5
Cc1ccc(N2C(=O)C3CCC(C4CCCC5C(=O)N(C)C(=O)C54)CC3C2=O)cc1,50.4,50.4,50.4
Cc1ccc(N2C(=O)C3CCCC(C4CCC5C(=O)N(C)C(=O)C5C4)C3C2=O)cc1,50.4,50.4,50.4
Cc1ccc(Oc2ccc(N3C(=O)C4CCC(C5CCCC6C(=O)N(C)C(=O)C65)CC4C3=O)cc2)cc1,54.3,54.3,54.3
Cc1ccc(Oc2ccc(N3C(=O)C4CCCC(C5CCC6C(=O)N(C)C(=O)C6C5)C4C3=O)cc2)cc1,54.3,54.3,54.3
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC(C6CCCC7C(=O)N(C)C(=O)C76)CC5C4=O)cc3)cc2)cc1,56.3,56.3,56.3
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCCC(C6CCC7C(=O)N(C)C(=O)C7C6)C5C4=O)cc3)cc2)cc1,56.3,56.3,56.3
