smile,value_min,value_max,value_mean
Cc1ccc(-c2ccc(N3C(=O)c4ccc(NC(=O)c5ccc(C(=O)Nc6ccc7c(c6)C(=O)N(C)C7=O)cc5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,334.0,334.0,334.0
Cc1ccc(Oc2ccc(-c3cc(-c4ccc(C(F)(F)F)cc4)cc(-c4ccc(Oc5ccc(-n6c(=O)c7cc8c(=O)n(C)c(=O)c8cc7c6=O)cc5C(F)(F)F)cc4)n3)cc2)c(C(F)(F)F)c1,315.0,315.0,315.0
Cc1ccc(Oc2ccc(-c3cc(-c4ccc(C(F)(F)F)cc4)cc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(-c8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)n3)cc2)c(C(F)(F)F)c1,294.0,294.0,294.0
Cc1ccc(Oc2ccc(-c3cc(-c4ccc(C(F)(F)F)cc4)cc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(C(=O)c8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)n3)cc2)c(C(F)(F)F)c1,280.0,280.0,280.0
Cc1ccc(Oc2ccc(-c3cc(-c4ccc(C(F)(F)F)cc4)cc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)n3)cc2)c(C(F)(F)F)c1,258.0,258.0,258.0
Cc1ccc(Oc2ccc(-c3cc(-c4ccc(C(F)(F)F)cc4)cc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5C(F)(F)F)cc4)n3)cc2)c(C(F)(F)F)c1,285.0,285.0,285.0
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(-n6c(=O)c7cc8c(=O)n(C)c(=O)c8cc7c6=O)cc5C(F)(F)F)cc4)c4ccccc4C(=O)c4ccccc43)cc2)c(C(F)(F)F)c1,329.0,329.0,329.0
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(-c8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)c4ccccc4C(=O)c4ccccc43)cc2)c(C(F)(F)F)c1,306.0,306.0,306.0
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(Oc9ccc%10c(c9)C(=O)N(C)C%10=O)cc8)cc7C6=O)cc5C(F)(F)F)cc4)c4ccccc4C(=O)c4ccccc43)cc2)c(C(F)(F)F)c1,259.0,259.0,259.0
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(C(=O)c8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)c4ccccc4C(=O)c4ccccc43)cc2)c(C(F)(F)F)c1,300.0,300.0,300.0
