smile,value_min,value_max,value_mean
Cc1cc(C(c2ccc(C(C)(C)C)cc2)c2cc(C)c(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)c(C)c2)cc(C)c1C,80,80,80
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,80,80,80
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,85,85,85
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc2C(F)(F)F)cc1,44.2,44.2,44.2
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)c(C(F)(F)F)c2)cc1,44.2,44.2,44.2
Cc1ccc(-c2cc(C(F)(F)F)c(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc2C(F)(F)F)cc1,69.3,69.3,69.3
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,76.5,76.5,76.5
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3)cc2C(F)(F)F)cc1,82.9,82.9,82.9
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3)c(C(F)(F)F)c2)cc1,82.9,82.9,82.9
Cc1ccc(-c2cc(C(F)(F)F)c(-c3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3)cc2C(F)(F)F)cc1,80.9,80.9,80.9
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,83.4,83.4,83.4
Cc1ccc(Oc2ccc(N3C(=O)C4CCC5C(=O)N(C)C(=O)C6CCC(C3=O)C4C56)cc2)cc1,85,85,85
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC6C(=O)N(C)C(=O)C7CCC(C4=O)C5C67)cc3)cc2)cc1,80,80,80
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCC7C(=O)N(C)C(=O)C8CCC(C5=O)C6C78)cc4)cc3)cc2)cc1,80,80,80
