JobID|JobName|State|ExitCode|Elapsed|NodeList|AllocCPUS|ReqMem|MaxRSS
4666|p2-native-ppo-smoke|FAILED|1:0|00:00:01|yanlih100n1|8|96G|
4666.batch|batch|FAILED|1:0|00:00:01|yanlih100n1|8||
4666.0|python|FAILED|1:0|00:00:00|yanlih100n1|8||
4667|p2-gymnasium-setup|FAILED|1:0|00:00:05|yanlih100n1|2|8G|
4667.batch|batch|FAILED|1:0|00:00:05|yanlih100n1|2||
4668|p2-gymnasium-setup|COMPLETED|0:0|00:00:01|yanlih100n1|2|8G|
4668.batch|batch|COMPLETED|0:0|00:00:01|yanlih100n1|2||
4669|p2-native-ppo-smoke|FAILED|1:0|00:00:35|yanlih100n1|8|96G|
4669.batch|batch|FAILED|1:0|00:00:35|yanlih100n1|8||
4669.0|python|COMPLETED|0:0|00:00:01|yanlih100n1|8||
4669.1|python|COMPLETED|0:0|00:00:04|yanlih100n1|8||
4669.2|python|FAILED|1:0|00:00:29|yanlih100n1|8||
4670|p2-native-ppo-smoke|COMPLETED|0:0|00:00:45|yanlih100n1|8|96G|
4670.batch|batch|COMPLETED|0:0|00:00:45|yanlih100n1|8||
4670.0|python|COMPLETED|0:0|00:00:01|yanlih100n1|8||
4670.1|python|COMPLETED|0:0|00:00:05|yanlih100n1|8||
4670.2|python|COMPLETED|0:0|00:00:38|yanlih100n1|8||
4671|p2-native-ppo-smoke|COMPLETED|0:0|00:00:45|yanlih100n1|8|96G|
4671.batch|batch|COMPLETED|0:0|00:00:45|yanlih100n1|8||
4671.0|python|COMPLETED|0:0|00:00:01|yanlih100n1|8||
4671.1|python|COMPLETED|0:0|00:00:05|yanlih100n1|8||
4671.2|python|COMPLETED|0:0|00:00:38|yanlih100n1|8||
