JobID|JobName|State|ExitCode|Elapsed|NodeList|AllocCPUS|ReqMem|MaxRSS
4672|p4-native-ppo-preflight|FAILED|1:0|00:00:00|yanlih100n1|8|96G|
4672.batch|batch|FAILED|1:0|00:00:00|yanlih100n1|8||
4673|p4-native-ppo-preflight|FAILED|1:0|00:00:01|yanlih100n1|8|96G|
4673.batch|batch|FAILED|1:0|00:00:01|yanlih100n1|8||
4673.0|python|FAILED|1:0|00:00:00|yanlih100n1|8||
4674|p4-native-ppo-preflight|FAILED|1:0|00:04:21|yanlih100n1|8|96G|
4674.batch|batch|FAILED|1:0|00:04:21|yanlih100n1|8||
4674.0|python|COMPLETED|0:0|00:00:05|yanlih100n1|8||
4674.1|python|FAILED|1:0|00:04:16|yanlih100n1|8||
4675|p4-native-ppo-preflight|COMPLETED|0:0|00:04:16|yanlih100n1|8|96G|
4675.batch|batch|COMPLETED|0:0|00:04:16|yanlih100n1|8||
4675.0|python|COMPLETED|0:0|00:00:04|yanlih100n1|8||
4675.1|python|COMPLETED|0:0|00:04:12|yanlih100n1|8||
4675.2|python|COMPLETED|0:0|00:00:00|yanlih100n1|8||
