PI,A_1,A_2,transmittance,cte,strength,tg,SaScore,reward
None,465,603,0.0,0.0,0.0,0.0,0.0,0.0
None,436,397,0.0,0.0,0.0,0.0,0.0,0.0
None,"116,78","722,766",0.0,0.0,0.0,0.0,0.0,0.0
None,"99,29","102,735",0.0,0.0,0.0,0.0,0.0,0.0
None,"75,306,313","670,985,64",0.0,0.0,0.0,0.0,0.0,0.0
None,"60,497","599,342",0.0,0.0,0.0,0.0,0.0,0.0
None,180,636,0.0,0.0,0.0,0.0,0.0,0.0
None,"317,451","228,215",0.0,0.0,0.0,0.0,0.0,0.0
None,313,982,0.0,0.0,0.0,0.0,0.0,0.0
None,265,515,0.0,0.0,0.0,0.0,0.0,0.0
None,317,412,0.0,0.0,0.0,0.0,0.0,0.0
None,413,15,0.0,0.0,0.0,0.0,0.0,0.0
None,531,199,0.0,0.0,0.0,0.0,0.0,0.0
None,456,787,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)c1ccc(N2C(=O)c3ccc(-c4c5c(=O)oc(=O)c5cc5c(=O)n(C)c(=O)c45)cc3C2=O)cc1F,173,952,0.43,5.9,169.12,353.69,3.08,0.0029
None,"129,289","304,966",0.0,0.0,0.0,0.0,0.0,0.0
None,139,440,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)c1ccc(N2C(=O)c3ccc(C4(c5ccc6c(c5)C(=O)N(C)C6=O)CCc5ccccc54)cc3C2=O)cc1,202,864,25.39,31.8,150.36,335.33,3.28,0.1483
None,512,645,0.0,0.0,0.0,0.0,0.0,0.0
None,"38,359","603,559",0.0,0.0,0.0,0.0,0.0,0.0
None,"99,98","203,138",0.0,0.0,0.0,0.0,0.0,0.0
None,398,761,0.0,0.0,0.0,0.0,0.0,0.0
None,93,154,0.0,0.0,0.0,0.0,0.0,0.0
None,"117,419","218,407",0.0,0.0,0.0,0.0,0.0,0.0
None,402,518,0.0,0.0,0.0,0.0,0.0,0.0
None,480,17,0.0,0.0,0.0,0.0,0.0,0.0
None,"169,107,76","706,365,149",0.0,0.0,0.0,0.0,0.0,0.0
None,322,866,0.0,0.0,0.0,0.0,0.0,0.0
None,451,112,0.0,0.0,0.0,0.0,0.0,0.0
None,438,179,0.0,0.0,0.0,0.0,0.0,0.0
None,"238,34,573","612,764,538",0.0,0.0,0.0,0.0,0.0,0.0
None,"152,56","464,796",0.0,0.0,0.0,0.0,0.0,0.0
None,466,353,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc(C2(OC=COCC(C)N3C(=O)C4(F)C5(F)C(=O)N(C)C(=O)C5(F)C4(F)C3=O)C3CC4CC(C3)CC2C4)cc1,"362,483,92","884,276,982",83.32,55.01,80.77,270.99,6.41,0.2949
None,469,819,0.0,0.0,0.0,0.0,0.0,0.0
None,252,530,0.0,0.0,0.0,0.0,0.0,0.0
None,"565,257","793,291",0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc(NNc2ccc(N3C(=O)C4=CCC(c5ccc6c(c5)C(=O)N(C)C6=O)C=C4C3=O)cc2)cc1,"23,197","69,820",3.61,30.21,101.47,374.75,3.45,0.0206
Cc1cc(N2C(=O)c3cc4c(cc3C2=O)C2CCC4C3C(=O)N(C)C(=O)C23)c2c(F)cccc2c1,"216,85","690,71",77.84,40.98,113.25,390.47,4.68,0.3681
None,500,252,0.0,0.0,0.0,0.0,0.0,0.0
None,232,837,0.0,0.0,0.0,0.0,0.0,0.0
Cc1c(F)c(F)c(S(=O)(=O)c2c(F)c(F)c(N3C(=O)C4=CC=C(c5ccc6c(c5)C(=O)N(C)C6=O)CC4C3=O)c(F)c2F)c(F)c1F,508,793,82.51,33.68,85.57,306.67,4.18,0.3947
None,441,110,0.0,0.0,0.0,0.0,0.0,0.0
None,243,1002,0.0,0.0,0.0,0.0,0.0,0.0
