JobID|JobName|Submit|Start|End|State|ExitCode|Elapsed|AllocCPUS|ReqMem|MaxRSS|NodeList
4748|scicf-short-multi|2026-09-08T08:35:56|2026-09-08T08:35:56|2026-09-08T08:40:50|COMPLETED|0:0|00:04:54|8|96G||yanlih100n1
4748.batch|batch|2026-09-08T08:35:56|2026-09-08T08:35:56|2026-09-08T08:40:50|COMPLETED|0:0|00:04:54|8|||yanlih100n1
4748.0|python|2026-09-08T08:35:57|2026-09-08T08:35:57|2026-09-08T08:36:02|COMPLETED|0:0|00:00:05|8|||yanlih100n1
4748.1|python|2026-09-08T08:36:02|2026-09-08T08:36:02|2026-09-08T08:40:50|COMPLETED|0:0|00:04:48|8|||yanlih100n1
4749|ppo-only-preflight|2026-09-08T09:03:09|2026-09-08T09:03:09|2026-09-08T09:03:10|FAILED|1:0|00:00:01|8|96G||yanlih100n1
4749.batch|batch|2026-09-08T09:03:09|2026-09-08T09:03:09|2026-09-08T09:03:10|FAILED|1:0|00:00:01|8|||yanlih100n1
4749.0|python|2026-09-08T09:03:10|2026-09-08T09:03:10|2026-09-08T09:03:10|FAILED|1:0|00:00:00|8|||yanlih100n1
4750|ppo-only-preflight|2026-09-08T09:03:45|2026-09-08T09:03:45|2026-09-08T09:03:57|COMPLETED|0:0|00:00:12|8|96G||yanlih100n1
4750.batch|batch|2026-09-08T09:03:45|2026-09-08T09:03:45|2026-09-08T09:03:57|COMPLETED|0:0|00:00:12|8|||yanlih100n1
4750.0|python|2026-09-08T09:03:46|2026-09-08T09:03:46|2026-09-08T09:03:50|COMPLETED|0:0|00:00:04|8|||yanlih100n1
4750.1|python|2026-09-08T09:03:50|2026-09-08T09:03:50|2026-09-08T09:03:57|COMPLETED|0:0|00:00:07|8|||yanlih100n1
4751|ppo-only-matched|2026-09-08T09:05:04|2026-09-08T09:05:04|2026-09-08T09:07:43|COMPLETED|0:0|00:02:39|8|96G||yanlih100n1
4751.batch|batch|2026-09-08T09:05:04|2026-09-08T09:05:04|2026-09-08T09:07:43|COMPLETED|0:0|00:02:39|8|||yanlih100n1
4751.0|python|2026-09-08T09:05:05|2026-09-08T09:05:05|2026-09-08T09:07:42|COMPLETED|0:0|00:02:37|8|||yanlih100n1
4751.1|python|2026-09-08T09:07:42|2026-09-08T09:07:42|2026-09-08T09:07:43|COMPLETED|0:0|00:00:01|8|||yanlih100n1
